index,time,rmse,r2,mae,lat,lon,TREFMXAV_U,y_pred,member,year,feature,model
0,1,1.3884342935442584,0.9899078951116278,1.0116866011230405,23.864050082247303,131.38944163884915,287.45444,287.5110333969977,18.000191078265306,2006_2015,CAM,FLAML
1,2,1.4390905055160688,0.9881433644898712,1.0601632936935341,23.86553375825392,131.38479379485656,289.0144,289.11259509281336,17.999836702794763,2006_2015,CAM,FLAML
2,3,1.4789832195085024,0.9835034188699575,1.0951923177703107,23.86494359062589,131.39260483145634,292.12427,292.1898569620561,17.99983992485562,2006_2015,CAM,FLAML
3,4,1.4467169238334534,0.9753979430900598,1.0750178477806713,23.864455680794578,131.38331360471076,295.45615,295.5156624874138,17.999929685615516,2006_2015,CAM,FLAML
4,5,1.3672923092829357,0.9656571852018779,1.0183683721362866,23.86554987161178,131.3837758598727,298.1175,298.1215458121869,17.99967328809741,2006_2015,CAM,FLAML
5,6,1.277147125501272,0.9642490562284601,0.9428713318724901,23.865744573617672,131.38372930523704,300.02936,300.031339759373,18.00015195874801,2006_2015,CAM,FLAML
6,7,1.2698832023325821,0.9632516341396432,0.9199772877968192,23.86559690821293,131.38393198697676,301.08163,301.0324558779504,17.999607952660995,2006_2015,CAM,FLAML
7,8,1.3541814085875743,0.9550499282895484,0.9702690313373628,23.864304278428968,131.3922270179964,300.7833,300.69055683142267,17.999811094096916,2006_2015,CAM,FLAML
8,9,1.4148097057046074,0.9547885385942613,1.0189809852181944,23.86499427675829,131.38385555194708,298.6372,298.55171427938836,17.999982934973982,2006_2015,CAM,FLAML
9,10,1.3847226980507112,0.9727250837828665,1.0072086113980385,23.864419571714787,131.38863995133747,295.40173,295.35227436994603,18.000163225326634,2006_2015,CAM,FLAML
10,11,1.326195140769722,0.984306509147665,0.9743832953955956,23.863986598906358,131.38583264395854,291.7552,291.74907151788915,18.000258809989262,2006_2015,CAM,FLAML
11,12,1.3415502076529333,0.989001564210943,0.9776269059378043,23.864371698393136,131.38675850868262,288.50873,288.52855247284,18.000548601901766,2006_2015,CAM,FLAML
0,1,0.9277317615796293,0.9954941581738692,0.6354975298789413,23.864050082247303,131.38944163884915,287.45444,287.4567667479702,18.000191078265306,2006_2015,CAM_loc,FLAML
1,2,0.8917721376868505,0.9954470482080995,0.629409916778704,23.86553375825392,131.38479379485656,289.0144,288.99586016702216,17.999836702794763,2006_2015,CAM_loc,FLAML
2,3,0.8883755950073855,0.9940480305582036,0.6366182938891097,23.86494359062589,131.39260483145634,292.12427,292.08030021527816,17.99983992485562,2006_2015,CAM_loc,FLAML
3,4,0.887542962121959,0.9907405953450106,0.6362297426302858,23.864455680794578,131.38331360471076,295.45615,295.44621473843074,17.999929685615516,2006_2015,CAM_loc,FLAML
4,5,0.8211629718378922,0.9876128367436288,0.5903585624537709,23.86554987161178,131.3837758598727,298.1175,298.0953302187162,17.99967328809741,2006_2015,CAM_loc,FLAML
5,6,0.746455033430811,0.9877872644741195,0.5395287428422755,23.865744573617672,131.38372930523704,300.02936,300.06237566179124,18.00015195874801,2006_2015,CAM_loc,FLAML
6,7,0.6925310003839562,0.9890707864409659,0.5001062342226699,23.86559690821293,131.38393198697676,301.08163,301.1293409509902,17.999607952660995,2006_2015,CAM_loc,FLAML
7,8,0.7006088154519692,0.9879682752006217,0.5027419623013454,23.864304278428968,131.3922270179964,300.7833,300.78839197238653,17.999811094096916,2006_2015,CAM_loc,FLAML
8,9,0.7553253892811272,0.9871139251165924,0.5394236296868511,23.86499427675829,131.38385555194708,298.6372,298.62567228211446,17.999982934973982,2006_2015,CAM_loc,FLAML
9,10,0.804861715792037,0.9907853181906405,0.575109283643751,23.864419571714787,131.38863995133747,295.40173,295.3857853586536,18.000163225326634,2006_2015,CAM_loc,FLAML
10,11,0.8377714052041069,0.993737384336759,0.596146674447136,23.863986598906358,131.38583264395854,291.7552,291.76397577623226,18.000258809989262,2006_2015,CAM_loc,FLAML
11,12,0.9027618681463994,0.9950196085925732,0.6222512276037732,23.864371698393136,131.38675850868262,288.50873,288.52973362650664,18.000548601901766,2006_2015,CAM_loc,FLAML
0,1,0.9504815142635262,0.9952704650279312,0.6485346775109543,23.864050082247303,131.38944163884915,287.45444,287.4508213511028,18.000191078265306,2006_2015,CAM_surf,FLAML
1,2,0.9152675243044581,0.9952039758725033,0.6439808480442054,23.86553375825392,131.38479379485656,289.0144,288.99424844709483,17.999836702794763,2006_2015,CAM_surf,FLAML
2,3,0.9135563161717069,0.9937058352942244,0.6530950498762839,23.86494359062589,131.39260483145634,292.12427,292.0825685756318,17.99983992485562,2006_2015,CAM_surf,FLAML
3,4,0.9139972936399068,0.9901803928256491,0.6537516029584527,23.864455680794578,131.38331360471076,295.45615,295.44942691711475,17.999929685615516,2006_2015,CAM_surf,FLAML
4,5,0.8457235627160028,0.9868607672113532,0.6066250411063916,23.86554987161178,131.3837758598727,298.1175,298.0960519695401,17.99967328809741,2006_2015,CAM_surf,FLAML
5,6,0.7673599589124666,0.9870936357391616,0.5534788752250343,23.865744573617672,131.38372930523704,300.02936,300.06712453801936,18.00015195874801,2006_2015,CAM_surf,FLAML
6,7,0.711406700675783,0.9884668915100943,0.5120609557890979,23.86559690821293,131.38393198697676,301.08163,301.13148869427994,17.999607952660995,2006_2015,CAM_surf,FLAML
7,8,0.7231128909589741,0.9871829256899911,0.5160726729799856,23.864304278428968,131.3922270179964,300.7833,300.7865105147417,17.999811094096916,2006_2015,CAM_surf,FLAML
8,9,0.7821252900327446,0.9861832740855492,0.5556118216904483,23.86499427675829,131.38385555194708,298.6372,298.62105039062453,17.999982934973982,2006_2015,CAM_surf,FLAML
9,10,0.8287864715110294,0.9902293578013742,0.5902537290544044,23.864419571714787,131.38863995133747,295.40173,295.3840900971147,18.000163225326634,2006_2015,CAM_surf,FLAML
10,11,0.8571148065069273,0.9934448491695056,0.608612119120216,23.863986598906358,131.38583264395854,291.7552,291.769845286985,18.000258809989262,2006_2015,CAM_surf,FLAML
11,12,0.9243237218548629,0.9947788609464625,0.6346209605768153,23.864371698393136,131.38675850868262,288.50873,288.530665127787,18.000548601901766,2006_2015,CAM_surf,FLAML
0,1,0.9182385690348138,0.9955859001514831,0.6224878551895938,23.864050082247303,131.38944163884915,287.45444,287.4489889551342,18.000191078265306,2006_2015,CAM_surf_loc,FLAML
1,2,0.8807650237128357,0.9955587484377035,0.6156813923962589,23.86553375825392,131.38479379485656,289.0144,288.98693530727036,17.999836702794763,2006_2015,CAM_surf_loc,FLAML
2,3,0.8777705638993046,0.9941892862778584,0.624423264227244,23.86494359062589,131.39260483145634,292.12427,292.07906306501724,17.99983992485562,2006_2015,CAM_surf_loc,FLAML
3,4,0.8783535899700149,0.9909313413248498,0.625989745044432,23.864455680794578,131.38331360471076,295.45615,295.448514849689,17.999929685615516,2006_2015,CAM_surf_loc,FLAML
4,5,0.8114001572461162,0.9879056280458836,0.5802964914620046,23.86554987161178,131.3837758598727,298.1175,298.0951946945747,17.99967328809741,2006_2015,CAM_surf_loc,FLAML
5,6,0.73408951214561,0.9881885371227471,0.528091750581178,23.865744573617672,131.38372930523704,300.02936,300.06207499428126,18.00015195874801,2006_2015,CAM_surf_loc,FLAML
6,7,0.6779641770003851,0.98952572509747,0.4875215507027737,23.86559690821293,131.38393198697676,301.08163,301.13235118829294,17.999607952660995,2006_2015,CAM_surf_loc,FLAML
7,8,0.6844218931429251,0.9885178165547375,0.4886550713383343,23.864304278428968,131.3922270179964,300.7833,300.7901985790397,17.999811094096916,2006_2015,CAM_surf_loc,FLAML
8,9,0.7405494339483708,0.9876131581414294,0.5258296144912172,23.86499427675829,131.38385555194708,298.6372,298.6249462769426,17.999982934973982,2006_2015,CAM_surf_loc,FLAML
9,10,0.7921967080107951,0.9910730342263615,0.5625948809206732,23.864419571714787,131.38863995133747,295.40173,295.3895673861847,18.000163225326634,2006_2015,CAM_surf_loc,FLAML
10,11,0.8279652908927684,0.993883134147293,0.5853626236044179,23.863986598906358,131.38583264395854,291.7552,291.7712554668815,18.000258809989262,2006_2015,CAM_surf_loc,FLAML
11,12,0.8937741994132923,0.9951182819849517,0.6107532104858096,23.864371698393136,131.38675850868262,288.50873,288.53403569155574,18.000548601901766,2006_2015,CAM_surf_loc,FLAML
0,1,1.3596232885525164,0.9893290442661471,0.9906243906947957,23.86446665115366,131.38892353763788,290.39853,290.4713451376629,17.999631747154226,2061_2070,CAM,FLAML
1,2,1.4376366605090227,0.9871842722888253,1.0572566546670565,23.865337528381534,131.38557059136886,291.90912,292.01842903491774,17.9995421170927,2061_2070,CAM,FLAML
2,3,1.4809366674466664,0.9822849322920022,1.096942168673426,23.864799395891325,131.3867322313723,294.97955,295.0516862711195,17.99998465041688,2061_2070,CAM,FLAML
3,4,1.44589837206208,0.9743817965112737,1.0765633726270554,23.865404963440692,131.3845748164375,298.28503,298.34660912985584,18.000252539015687,2061_2070,CAM,FLAML
4,5,1.365541230921044,0.9656167989923042,1.0202272287806613,23.864501127164917,131.38542408671734,301.0696,301.06832900452986,17.99993881470627,2061_2070,CAM,FLAML
5,6,1.2812557085400675,0.9659530483524467,0.9510119759775354,23.865231537639378,131.37796308677238,303.10886,303.1297577639095,18.00000889590092,2061_2070,CAM,FLAML
6,7,1.289977575640446,0.9656545298485174,0.9394593255300874,23.86685077561385,131.37823100227084,304.29996,304.2487912032492,18.000134278379573,2061_2070,CAM,FLAML
7,8,1.3791397553485556,0.9570235719275147,0.9928996648555584,23.864293905383438,131.3879061763918,304.04736,303.9364651280384,18.00010156054273,2061_2070,CAM,FLAML
8,9,1.4313697747704464,0.9526960161512539,1.033601525359646,23.865265918822317,131.38317252449212,301.77435,301.6755372800142,18.0003450226233,2061_2070,CAM,FLAML
9,10,1.396609221249111,0.9705860797488316,1.0176829367365454,23.865466697557512,131.38001955421123,298.3874,298.3222786089613,17.99992700757009,2061_2070,CAM,FLAML
10,11,1.3217018548743658,0.983293429461118,0.9719605726514825,23.864675855552175,131.38701747927504,294.6161,294.6053265894841,18.000146616392605,2061_2070,CAM,FLAML
11,12,1.293349936821223,0.9887179156792233,0.9474160145380555,23.86421486266208,131.3826239881327,291.4363,291.4669371392711,17.999966729210254,2061_2070,CAM,FLAML
0,1,0.8870311326461339,0.995458034258407,0.6148938279203919,23.86446665115366,131.38892353763788,290.39853,290.39523474354843,17.999631747154226,2061_2070,CAM_loc,FLAML
1,2,0.8710218141613566,0.9952956128268439,0.6197547965792141,23.865337528381534,131.38557059136886,291.90912,291.88111810201025,17.9995421170927,2061_2070,CAM_loc,FLAML
2,3,0.8804999793624095,0.9937377767775798,0.6340580760465182,23.864799395891325,131.3867322313723,294.97955,294.93226904080336,17.99998465041688,2061_2070,CAM_loc,FLAML
3,4,0.8901472699296658,0.9902905000935249,0.64044038676973,23.865404963440692,131.3845748164375,298.28503,298.2823229188977,18.000252539015687,2061_2070,CAM_loc,FLAML
4,5,0.8356875908448873,0.9871227069963415,0.6024295043402138,23.864501127164917,131.38542408671734,301.0696,301.0461332615289,17.99993881470627,2061_2070,CAM_loc,FLAML
5,6,0.7643943603383415,0.9878817040197921,0.5544202837686154,23.865231537639378,131.37796308677238,303.10886,303.146085876821,18.00000889590092,2061_2070,CAM_loc,FLAML
6,7,0.7163567354332406,0.9894083446267697,0.5184330025317095,23.86685077561385,131.37823100227084,304.29996,304.3440885843194,18.000134278379573,2061_2070,CAM_loc,FLAML
7,8,0.7217799098063804,0.9882287294741948,0.5188001362918514,23.864293905383438,131.3879061763918,304.04736,304.0483489067821,18.00010156054273,2061_2070,CAM_loc,FLAML
8,9,0.7649822730908933,0.9864887112344101,0.54715535417919,23.865265918822317,131.38317252449212,301.77435,301.7651175163218,18.0003450226233,2061_2070,CAM_loc,FLAML
9,10,0.8079952178586601,0.9901548875488865,0.5788557076005033,23.865466697557512,131.38001955421123,298.3874,298.3760629650815,17.99992700757009,2061_2070,CAM_loc,FLAML
10,11,0.8230874660222767,0.9935209357547218,0.5915516577379054,23.864675855552175,131.38701747927504,294.6161,294.63099699502567,18.000146616392605,2061_2070,CAM_loc,FLAML
11,12,0.8457550763382639,0.9951755648257202,0.5981117105475604,23.86421486266208,131.3826239881327,291.4363,291.4628275712255,17.999966729210254,2061_2070,CAM_loc,FLAML
0,1,0.9090325859836146,0.9952299269298841,0.6279889429079324,23.86446665115366,131.38892353763788,290.39853,290.3896212777588,17.999631747154226,2061_2070,CAM_surf,FLAML
1,2,0.893444300645792,0.9950502876689428,0.6340326808159156,23.865337528381534,131.38557059136886,291.90912,291.87941114047527,17.9995421170927,2061_2070,CAM_surf,FLAML
2,3,0.9057461816561708,0.9933735203614111,0.6510254590074017,23.864799395891325,131.3867322313723,294.97955,294.93357852251785,17.99998465041688,2061_2070,CAM_surf,FLAML
3,4,0.9172308274711902,0.9896906705412285,0.6587078591755957,23.865404963440692,131.3845748164375,298.28503,298.2842407134707,18.000252539015687,2061_2070,CAM_surf,FLAML
4,5,0.8585798191617526,0.9864075412642754,0.6179372156982097,23.864501127164917,131.38542408671734,301.0696,301.04315867707606,17.99993881470627,2061_2070,CAM_surf,FLAML
5,6,0.7841544528425421,0.9872470741919401,0.5680046015210803,23.865231537639378,131.37796308677238,303.10886,303.14932262512195,18.00000889590092,2061_2070,CAM_surf,FLAML
6,7,0.7354382649606037,0.9888365716519052,0.5308534249718295,23.86685077561385,131.37823100227084,304.29996,304.34751701505974,18.000134278379573,2061_2070,CAM_surf,FLAML
7,8,0.7442373467373522,0.9874848320883067,0.5328183810926337,23.864293905383438,131.3879061763918,304.04736,304.0474030653619,18.00010156054273,2061_2070,CAM_surf,FLAML
8,9,0.7916377901340996,0.9855307150751175,0.5644219621110512,23.865265918822317,131.38317252449212,301.77435,301.7629018350298,18.0003450226233,2061_2070,CAM_surf,FLAML
9,10,0.830781977494043,0.9895917615440285,0.5942255826096533,23.865466697557512,131.38001955421123,298.3874,298.37546508016806,17.99992700757009,2061_2070,CAM_surf,FLAML
10,11,0.8404995931943853,0.9932439115775562,0.6034426758857865,23.864675855552175,131.38701747927504,294.6161,294.63651212333264,18.000146616392605,2061_2070,CAM_surf,FLAML
11,12,0.8658202559123558,0.9949439340197367,0.610340169005975,23.86421486266208,131.3826239881327,291.4363,291.4641524011569,17.999966729210254,2061_2070,CAM_surf,FLAML
0,1,0.8768360959443826,0.9955618398657101,0.6016610995001478,23.86446665115366,131.38892353763788,290.39853,290.3861454423846,17.999631747154226,2061_2070,CAM_surf_loc,FLAML
1,2,0.8596454613697226,0.9954176976355356,0.6061926923466243,23.865337528381534,131.38557059136886,291.90912,291.8732371455579,17.9995421170927,2061_2070,CAM_surf_loc,FLAML
2,3,0.8704217375963146,0.9938803117204152,0.622683629703628,23.864799395891325,131.3867322313723,294.97955,294.93092686160713,17.99998465041688,2061_2070,CAM_surf_loc,FLAML
3,4,0.8819186861059253,0.9904691809861258,0.6312440671145276,23.865404963440692,131.3845748164375,298.28503,298.28486484674363,18.000252539015687,2061_2070,CAM_surf_loc,FLAML
4,5,0.8267523756017234,0.9873966042393587,0.5932200796444279,23.864501127164917,131.38542408671734,301.0696,301.0458804327975,17.99993881470627,2061_2070,CAM_surf_loc,FLAML
5,6,0.7530562606040077,0.9882385340919643,0.5440459535424137,23.865231537639378,131.37796308677238,303.10886,303.14546929936887,18.00000889590092,2061_2070,CAM_surf_loc,FLAML
6,7,0.7032435598397785,0.9897925638608266,0.5070940627828836,23.86685077561385,131.37823100227084,304.29996,304.3471785240198,18.000134278379573,2061_2070,CAM_surf_loc,FLAML
7,8,0.7074539037353846,0.9886913684040566,0.5062932070332204,23.864293905383438,131.3879061763918,304.04736,304.05037938050344,18.00010156054273,2061_2070,CAM_surf_loc,FLAML
8,9,0.7518805541520392,0.9869475589989912,0.5351973418404992,23.865265918822317,131.38317252449212,301.77435,301.7653372487845,18.0003450226233,2061_2070,CAM_surf_loc,FLAML
9,10,0.7947160383657974,0.9904758318204961,0.5664562561204808,23.865466697557512,131.38001955421123,298.3874,298.3797790263228,17.99992700757009,2061_2070,CAM_surf_loc,FLAML
10,11,0.8121131628929374,0.9936925559165835,0.5803526308041767,23.864675855552175,131.38701747927504,294.6161,294.637416024637,18.000146616392605,2061_2070,CAM_surf_loc,FLAML
11,12,0.8359775563238051,0.9952864677285825,0.5865977329237795,23.86421486266208,131.3826239881327,291.4363,291.4668249951255,17.999966729210254,2061_2070,CAM_surf_loc,FLAML
0,1,1.4856126308441162,0.988445752493644,1.0526028871536255,23.864050082247303,131.38944163884915,287.45444,287.5120849609375,18.000191078265306,2006_2015,CAM,xgboost_old
1,2,1.4810783863067627,0.9874413839256143,1.0815913677215576,23.86553375825392,131.38479379485656,289.0144,289.1129455566406,17.999836702794763,2006_2015,CAM,xgboost_old
2,3,1.4856148958206177,0.9833551307531546,1.0997997522354126,23.86494359062589,131.39260483145634,292.12427,292.1896667480469,17.99983992485562,2006_2015,CAM,xgboost_old
3,4,1.4444371461868286,0.9754754047784009,1.0745445489883423,23.864455680794578,131.38331360471076,295.45615,295.513671875,17.999929685615516,2006_2015,CAM,xgboost_old
4,5,1.3668204545974731,0.9656808267543046,1.0197139978408813,23.86554987161178,131.3837758598727,298.1175,298.12066650390625,17.99967328809741,2006_2015,CAM,xgboost_old
5,6,1.2852228879928589,0.9637954533157498,0.9505789279937744,23.865744573617672,131.38372930523704,300.02936,300.0296936035156,18.00015195874801,2006_2015,CAM,xgboost_old
6,7,1.281217098236084,0.962592711354727,0.9303440451622009,23.86559690821293,131.38393198697676,301.08163,301.02655029296875,17.999607952660995,2006_2015,CAM,xgboost_old
7,8,1.3610484600067139,0.9545928390903962,0.978186309337616,23.864304278428968,131.3922270179964,300.7833,300.6878967285156,17.999811094096916,2006_2015,CAM,xgboost_old
8,9,1.4171336889266968,0.9546398682645287,1.0223983526229858,23.86499427675829,131.38385555194708,298.6372,298.55401611328125,17.999982934973982,2006_2015,CAM,xgboost_old
9,10,1.3837474584579468,0.9727634489992617,1.0075150728225708,23.864419571714787,131.38863995133747,295.40173,295.3512878417969,18.000163225326634,2006_2015,CAM,xgboost_old
10,11,1.3376638889312744,0.9840339207567945,0.9795419573783875,23.863986598906358,131.38583264395854,291.7552,291.7447814941406,18.000258809989262,2006_2015,CAM,xgboost_old
11,12,1.4076642990112305,0.9878908038905,1.0037692785263062,23.864371698393136,131.38675850868262,288.50873,288.5249938964844,18.000548601901766,2006_2015,CAM,xgboost_old
0,1,1.0349634885787964,0.9943923608834201,0.6706215739250183,23.864050082247303,131.38944163884915,287.45444,287.4627990722656,18.000191078265306,2006_2015,CAM_loc,xgboost_old
1,2,0.9446674585342407,0.9948909117673862,0.6480429768562317,23.86553375825392,131.38479379485656,289.0144,288.99859619140625,17.999836702794763,2006_2015,CAM_loc,xgboost_old
2,3,0.8955061435699463,0.9939521050440714,0.6380882859230042,23.86494359062589,131.39260483145634,292.12427,292.0833740234375,17.99983992485562,2006_2015,CAM_loc,xgboost_old
3,4,0.8838092684745789,0.9908183426822031,0.6337869167327881,23.864455680794578,131.38331360471076,295.45615,295.4490051269531,17.999929685615516,2006_2015,CAM_loc,xgboost_old
4,5,0.8230898976325989,0.9875546011205578,0.5916498303413391,23.86554987161178,131.3837758598727,298.1175,298.098388671875,17.99967328809741,2006_2015,CAM_loc,xgboost_old
5,6,0.7598977088928223,0.987343433948067,0.5467065572738647,23.865744573617672,131.38372930523704,300.02936,300.06103515625,18.00015195874801,2006_2015,CAM_loc,xgboost_old
6,7,0.7105354070663452,0.9884951369148499,0.5092455744743347,23.86559690821293,131.38393198697676,301.08163,301.1214904785156,17.999607952660995,2006_2015,CAM_loc,xgboost_old
7,8,0.7104066610336304,0.987629383850575,0.5079125165939331,23.864304278428968,131.3922270179964,300.7833,300.787841796875,17.999811094096916,2006_2015,CAM_loc,xgboost_old
8,9,0.7566869854927063,0.9870674292525299,0.5387862920761108,23.86499427675829,131.38385555194708,298.6372,298.6307067871094,17.999982934973982,2006_2015,CAM_loc,xgboost_old
9,10,0.8010507822036743,0.9908723681687281,0.5710565447807312,23.864419571714787,131.38863995133747,295.40173,295.3859558105469,18.000163225326634,2006_2015,CAM_loc,xgboost_old
10,11,0.8532165884971619,0.9935043439695611,0.5987664461135864,23.863986598906358,131.38583264395854,291.7552,291.7583923339844,18.000258809989262,2006_2015,CAM_loc,xgboost_old
11,12,0.973334550857544,0.994210494825995,0.6427119970321655,23.864371698393136,131.38675850868262,288.50873,288.52679443359375,18.000548601901766,2006_2015,CAM_loc,xgboost_old
0,1,1.0797312259674072,0.9938967370838042,0.6935735940933228,23.864050082247303,131.38944163884915,287.45444,287.45751953125,18.000191078265306,2006_2015,CAM_surf,xgboost_old
1,2,0.9904670715332031,0.9943835129517952,0.6747291088104248,23.86553375825392,131.38479379485656,289.0144,289.00665283203125,17.999836702794763,2006_2015,CAM_surf,xgboost_old
2,3,0.9428421854972839,0.9932958122660679,0.6677796840667725,23.86494359062589,131.39260483145634,292.12427,292.0939636230469,17.99983992485562,2006_2015,CAM_surf,xgboost_old
3,4,0.9337277412414551,0.9897518626173676,0.6660277843475342,23.864455680794578,131.38331360471076,295.45615,295.4562683105469,17.999929685615516,2006_2015,CAM_surf,xgboost_old
4,5,0.8719596862792969,0.9860329068376492,0.6234245300292969,23.86554987161178,131.3837758598727,298.1175,298.101318359375,17.99967328809741,2006_2015,CAM_surf,xgboost_old
5,6,0.8011489510536194,0.9859320048192758,0.5726990699768066,23.865744573617672,131.38372930523704,300.02936,300.059814453125,18.00015195874801,2006_2015,CAM_surf,xgboost_old
6,7,0.7486312389373779,0.9872283570054554,0.5317261815071106,23.86559690821293,131.38393198697676,301.08163,301.1141052246094,17.999607952660995,2006_2015,CAM_surf,xgboost_old
7,8,0.7594475746154785,0.9858624926543778,0.5355141758918762,23.864304278428968,131.3922270179964,300.7833,300.78106689453125,17.999811094096916,2006_2015,CAM_surf,xgboost_old
8,9,0.8142977952957153,0.9850231923218612,0.5726128220558167,23.86499427675829,131.38385555194708,298.6372,298.62255859375,17.999982934973982,2006_2015,CAM_surf,xgboost_old
9,10,0.8522396087646484,0.9896685425759185,0.602133572101593,23.864419571714787,131.38863995133747,295.40173,295.38031005859375,18.000163225326634,2006_2015,CAM_surf,xgboost_old
10,11,0.8913027048110962,0.9929114834925531,0.6220521330833435,23.863986598906358,131.38583264395854,291.7552,291.7586364746094,18.000258809989262,2006_2015,CAM_surf,xgboost_old
11,12,1.0126103162765503,0.9937338346955028,0.6628877520561218,23.864371698393136,131.38675850868262,288.50873,288.5223693847656,18.000548601901766,2006_2015,CAM_surf,xgboost_old
0,1,1.0315251350402832,0.994429539768151,0.6589370965957642,23.864050082247303,131.38944163884915,287.45444,287.4532470703125,18.000191078265306,2006_2015,CAM_surf_loc,xgboost_old
1,2,0.9359537959098816,0.9949847287355525,0.6349736452102661,23.86553375825392,131.38479379485656,289.0144,288.9895935058594,17.999836702794763,2006_2015,CAM_surf_loc,xgboost_old
2,3,0.8833264708518982,0.9941154994357506,0.6253665089607239,23.86494359062589,131.39260483145634,292.12427,292.08111572265625,17.99983992485562,2006_2015,CAM_surf_loc,xgboost_old
3,4,0.8730664253234863,0.9910401959264762,0.6232643723487854,23.864455680794578,131.38331360471076,295.45615,295.45001220703125,17.999929685615516,2006_2015,CAM_surf_loc,xgboost_old
4,5,0.8124662637710571,0.9878738200921584,0.5819097757339478,23.86554987161178,131.3837758598727,298.1175,298.0971984863281,17.99967328809741,2006_2015,CAM_surf_loc,xgboost_old
5,6,0.7470059394836426,0.9877692468572712,0.5355760455131531,23.865744573617672,131.38372930523704,300.02936,300.06048583984375,18.00015195874801,2006_2015,CAM_surf_loc,xgboost_old
6,7,0.6959335803985596,0.9889631177845812,0.49750223755836487,23.86559690821293,131.38393198697676,301.08163,301.1233825683594,17.999607952660995,2006_2015,CAM_surf_loc,xgboost_old
7,8,0.6943934559822083,0.9881807923301736,0.4948665499687195,23.864304278428968,131.3922270179964,300.7833,300.7897033691406,17.999811094096916,2006_2015,CAM_surf_loc,xgboost_old
8,9,0.7406761050224304,0.9876089193050426,0.5252900123596191,23.86499427675829,131.38385555194708,298.6372,298.6315612792969,17.999982934973982,2006_2015,CAM_surf_loc,xgboost_old
